raw_col,new_col,ind,pair
iid,iid,1,1
gender,gender,1,0
wave,wave,1,0
pid,pid,1,1
match,match,1,0
samerace,samerace,1,0
age_o,age_part,0,1
pf_o_att,pref_part_att,0,1
pf_o_sin,pref_part_sin,0,1
pf_o_int,pref_part_int,0,1
pf_o_fun,pref_part_fun,0,1
pf_o_amb,pref_part_amb,0,1
pf_o_sha,pref_part_sha,0,1
dec_o,dec_part,1,0
attr_o,part_att,0,1
sinc_o,part_sin,0,1
intel_o,part_int,0,1
fun_o,part_fun,0,1
amb_o,part_amb,0,1
shar_o,part_sha,0,1
like_o,part_lik,0,1
prob_o,part_prob,0,1
met_o,part_met,1,0
age,age_self,1,0
field_cd,field_cd,1,0
race,race,1,0
imprace,imprace,1,1
imprelig,imprelig,1,1
goal,goal,1,0
date,date,1,1
go_out,go_out,1,1
career_c,career_c,1,0
